epoch,accuracy,loss,val_accuracy,val_loss
0,0.9776568412780762,0.16162315011024475,NA,NA
1,0.9776568412780762,0.05395924672484398,NA,NA
2,0.9776568412780762,0.05137798935174942,NA,NA
3,0.9776568412780762,0.049870651215314865,NA,NA
4,0.9776568412780762,0.048496976494789124,NA,NA
5,0.9776568412780762,0.04653194919228554,NA,NA
6,0.9776568412780762,0.045130662620067596,NA,NA
7,0.9776568412780762,0.04339331015944481,NA,NA
8,0.9796528220176697,0.04230673238635063,NA,NA
9,0.9817983508110046,0.03971840813755989,NA,NA
10,0.9831612706184387,0.03681414946913719,NA,NA
11,0.9839087128639221,0.03455891087651253,NA,NA
12,0.9849638342857361,0.032674968242645264,NA,NA
13,0.986203670501709,0.029900234192609787,NA,NA
14,0.986590564250946,0.028927108272910118,NA,NA
